ths_main_business_composition_stock,ths_moc_project_name_industry_stock,ths_moc_project_income_industry_stock,ths_moc_project_cost_industry_stock,ths_moc_project_profit_industry_stock,ths_moc_project_gross_industry_stock,ths_moc_project_name_product_stock,ths_moc_project_income_product_stock,ths_moc_project_cost_product_stock,ths_moc_project_profit_product_stock,ths_moc_project_gross_rate_product_stock,ths_moc_project_name_district_stock,ths_moc_project_income_district_stock,ths_moc_project_cost_district_stock,ths_moc_project_profit_district_stock,ths_moc_project_gross_rate_dstrct_stock,ths_moc_foreign_income_stock,ths_moc_foreign_income_ratio_stock,ths_moc_foreign_cost_stock,ths_moc_foreign_cost_ratio_stock,ths_moc_foreign_gr_profit_stock,ths_moc_frg_gr_profit_rate_stock,ths_moc_domestic_income_stock,ths_moc_domestic_income_ratio_stock,ths_moc_domestic_cost_stock,ths_moc_domestic_cost_ratio_stock,ths_moc_domestic_gr_profit_stock,ths_moc_dmt_gr_profit_rate_stock,ths_moc_undistinguishable_income_stock,ths_moc_undistinguishable_income_ratio_stock,ths_moc_undistinguishable_cost_stock,ths_moc_undistinguishable_cost_ratio_stock,ths_moc_undistinguishable_profit_stock,ths_moc_undistinguishable_gross_margin_stock,thscode,time
寿险及健康险:46.1729%;财产保险:32.4821%;银行:12.0856%;资产管理:4.7211%;金融赋能:4.5383%,寿险及健康险,502171000000.0000,377876000000.0000,124295000000.0000,24.7515,保险业务收入,559502000000.0000,,,,其他业务,611257000000.0000,,,,,,,,,,439249000000.0,41.81308816894,,,,,,,,,,,601318.SH,
制造业:100.0000%,制造业,40528509770.2300,9101956953.5900,31426552816.6400,77.5418,酒类,37103992232.5900,6027808125.5500,31076184107.0400,83.7543,南部区域,17824948680.4400,3694433392.6300,14130515287.8100,79.2738,,,,,,,40528509770.23,100.0,9101956953.59,100.0,31426552816.64,77.54184152047,,,,,,,000858.SZ,
酒类:99.5124%;其他收入:0.4876%,酒类,25605542053.2100,3397409112.7400,22208132940.4700,86.7317,中高档酒类,22967954695.5900,2080399388.3300,20887555307.2600,90.9422,国内,25534165136.8000,3412604641.7300,22121560495.0700,86.6351,196845510.52,0.76501274364247,29144940.96,0.84680597061977,167700569.56,85.194002706483,25534165136.8,99.234987256358,3412604641.73,99.15319402938,22121560495.07,86.635143058538,,,,,,,000568.SZ,
商务服务业:100.0000%,商务服务业,1199167708.5700,444186733.0700,754980975.5000,62.9587,市场租赁及服务,1073407726.3500,350528908.1400,722878818.2100,67.3443,成都地区,1160860654.5600,408556091.0100,752304563.5500,64.8058,,,,,,,1199167708.57,100.0,444186733.07,100.0,754980975.5,62.958747980323,,,,,,,002818.SZ,
房屋建筑工程:58.4349%;基础设施建设与投资:25.7175%;房地产开发与投资:13.4649%;其他:1.9012%;勘察设计:0.4816%,房屋建筑工程,1234205792000.0000,1129949766000.0000,104256026000.0000,8.4472,,,,,,境内,1940443514000.0000,1738347534000.0000,202095980000.0000,10.4149,141698297000.0,6.8054104793153,137711231000.0,7.3404540182407,3987066000.0,2.81377129042,1940443514000.0,93.194589520685,1738347534000.0,92.659545981759,202095980000.0,10.414937540923,,,,,,,601668.SH,
零售金融业务:56.5923%;批发金融业务:40.9066%;其他业务:2.5011%,零售银行业务,191017000000.0000,100312000000.0000,90705000000.0000,47.4853,个人贷款和垫款,144315000000.0000,,,,总行,124416000000.0000,,,,4554000000.0,1.3492054086724,,,,,332978000000.0,98.650794591328,,,,,,,,,,,600036.SH,
品牌服装:57.2715%;地产开发:33.6115%;其他业务:9.1170%,服装制造业,6633082800.0000,2164619400.0000,4468463400.0000,67.3663,其他业务,4948729380.4400,4100613362.4400,848116018.0000,17.1381,华东,3388443000.0000,1087200900.0000,2301242100.0000,67.9144,705710700.0,6.0932665529261,283188000.0,4.5199918307536,422522700.0,59.871941859462,9820189600.0,84.789748593967,5106201500.0,81.500589947955,4713988100.0,48.003025318371,,,,,,,600177.SH,
贸易:94.4853%;化工:5.2005%;其他:0.1768%;其他业务:0.1374%,进出口贸易,37264585729.4000,31244138656.4600,6020447072.9400,16.1559,出口贸易,32601765972.5900,26983347548.2800,5618418424.3100,17.2335,国外,33206292377.0400,27436010829.5800,5770281547.4600,17.3771,33206292377.04,84.195360553702,27436010829.58,83.144337788784,5770281547.46,17.377072640154,6179087353.24,15.667226009206,5561887252.34,16.85519937006,617200100.9,9.9885317299548,,,,,,,002091.SZ,
供应链运营业务:75.7283%;房地产业务:23.2930%;家居商场运营业务:0.9786%;其他业务:0.0001%,供应链运营业务,508342000000.0000,497336000000.0000,11006000000.0000,2.1651,冶金原材料,247169000000.0000,242281000000.0000,4888000000.0000,1.9776,国内,546183000000.0000,511941000000.0000,34242000000.0000,6.2693,125087000000.0,18.63436761528,121981000000.0,19.242269111986,3106000000.0,2.4830717820397,546183000000.0,81.365568022389,511941000000.0,80.757712196647,34242000000.0,6.269327313373,,,,,,,600153.SH,
生物发酵:96.1217%;医药健康:3.0584%;其他业务:0.8199%,生物发酵,23269783334.2200,18973852154.4200,4295931179.8000,18.4614,动物营养氨基酸,14201982767.5900,11243468450.9900,2958514316.6000,20.8317,国内,16875325367.1900,13956612103.4200,2918713263.7700,17.2957,7134861792.17,29.472334858157,5512453267.66,28.111280526758,1622408524.51,22.739172415231,16875325367.19,69.707760927898,13956612103.42,71.173072857438,2918713263.77,17.295745120534,,,,,,,600873.SH,
,财产保险,353272000000.0000,334207000000.0000,19065000000.0000,5.3967,投资收益,152863000000.0000,,,,广东,174566000000.0000,,,,,,,,,,,,,,,,,,,,,,601318.SH,
,,,,,,非酒类产品,3424517537.6400,3074148828.0400,350368709.6000,10.2312,东部区域,12831595450.0400,1479292786.5500,11352302663.4900,88.4715,,,,,,,,,,,,,,,,,,,000858.SZ,
,其他,125468594.1100,44340469.9500,81128124.1600,64.6601,低档酒,2637587357.6200,1317009724.4100,1320577633.2100,50.0676,国外,196845510.5200,29144940.9600,167700569.5600,85.1940,,,,,,,,,,,,,,,,,,,000568.SZ,
,,,,,,装饰装修工程收入,59075506.4900,59316701.2600,-241194.7700,-0.4083,四川省内其他地区,33544601.5200,26975233.1600,6569368.3600,19.5840,,,,,,,,,,,,,,,,,,,002818.SZ,
,基础设施建设与投资,543179718000.0000,489418942000.0000,53760776000.0000,9.8974,,,,,,境外,141698297000.0000,137711231000.0000,3987066000.0000,2.8138,,,,,,,,,,,,,,,,,,,601668.SH,
,批发银行业务,138073000000.0000,52527000000.0000,85546000000.0000,61.9571,企业贷款和垫款,85688000000.0000,,,,长江三角洲地区,46777000000.0000,,,,,,,,,,,,,,,,,,,,,,600036.SH,
,房地产旅游业,3892817400.0000,3224770200.0000,668047200.0000,17.1610,上衣,2388147800.0000,762266700.0000,1625881100.0000,68.0813,地产开发(宁波),2998194500.0000,2456911900.0000,541282600.0000,18.0536,,,,,,,,,,,,,,,,,,,600177.SH,
,化工,2051045568.0300,1684805475.3900,366240092.6400,17.8563,国内贸易,4662819756.8100,4260791108.1800,402028648.6300,8.6220,国内,6179087353.2400,5561887252.3400,617200100.9000,9.9885,,,,,,,,,,,,,,,,,,,002091.SZ,
,房地产开发业务,156359000000.0000,133861000000.0000,22498000000.0000,14.3887,农林产品,156431000000.0000,154416000000.0000,2015000000.0000,1.2881,国外,125087000000.0000,121981000000.0000,3106000000.0000,2.4831,,,,,,,,,,,,,,,,,,,600153.SH,
,医药健康,740403825.1400,495213216.6600,245190608.4800,33.1158,食品味觉性状优化剂,7469939525.4300,6518857108.2800,951082417.1500,12.7321,国外,7134861792.1700,5512453267.6600,1622408524.5100,22.7392,,,,,,,,,,,,,,,,,,,600873.SH,
,银行,131442000000.0000,80034000000.0000,51408000000.0000,39.1108,非银行业务利息收入,135798000000.0000,,,,浙江,71339000000.0000,,,,,,,,,,,,,,,,,,,,,,601318.SH,
,,,,,,,,,,,北部区域,6447448102.1100,854081946.3700,5593366155.7400,86.7532,,,,,,,,,,,,,,,,,,,000858.SZ,
,,,,,,其他,125468594.1100,44340469.9500,81128124.1600,64.6601,,,,,,,,,,,,,,,,,,,,,,,,000568.SZ,
,,,,,,其他,51266673.6600,14138620.7800,37128052.8800,72.4214,云南地区,4762452.4900,8655408.9000,-3892956.4100,-81.7427,,,,,,,,,,,,,,,,,,,002818.SZ,
,房地产开发与投资,284393567000.0000,243362415000.0000,41031152000.0000,14.4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601668.SH,
,其他业务,8442000000.0000,5441000000.0000,3001000000.0000,35.5484,以摊余成本计量的债务工具投资,58299000000.0000,,,,附属机构,41192000000.0000,,,,,,,,,,,,,,,,,,,,,,600036.SH,
,其他业务,1055912080.4400,875843062.4400,180069018.0000,17.0534,衬衫,1223193400.0000,367789700.0000,855403700.0000,69.9320,其他业务,1055912080.4400,875843062.4400,180069018.0000,17.0534,,,,,,,,,,,,,,,,,,,600177.SH,
,其他,69748432.8500,68801221.5100,947211.3400,1.3580,化工产品,2051045568.0300,1684805475.3900,366240092.6400,17.8563,其他业务,54195275.5900,152728.5600,54042547.0300,99.7182,,,,,,,,,,,,,,,,,,,002091.SZ,
,家居商场运营业务,6569000000.0000,2725000000.0000,3844000000.0000,58.5173,住宅地产,144076000000.0000,127188000000.0000,16888000000.0000,11.7216,其他业务,432045.3000,118488.7100,313556.5900,72.5749,,,,,,,,,,,,,,,,,,,600153.SH,
,其他业务,198487947.3400,140334003.0000,58153944.3400,29.2985,其他,1597861041.2000,1211526595.1500,386334446.0500,24.1782,其他业务,198487947.3400,140334003.0000,58153944.3400,29.2985,,,,,,,,,,,,,,,,,,,600873.SH,
,其他资产管理,51346000000.0000,47508000000.0000,3838000000.0000,7.4748,发放贷款及垫款,130260000000.0000,,,,江苏,67391000000.0000,,,,,,,,,,,,,,,,,,,,,,601318.SH,
,,,,,,,,,,,非酒类产品,3424517537.6400,3074148828.0400,350368709.6000,10.2312,,,,,,,,,,,,,,,,,,,000858.SZ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000568.SZ,
,,,,,,委托经营管理,9556905.4100,1636467.0700,7920438.3400,82.8766,,,,,,,,,,,,,,,,,,,,,,,,002818.SZ,
,其他,40155113000.0000,34166015000.0000,5989098000.0000,14.9149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601668.SH,
,,,,,,投资收益,36837000000.0000,,,,珠江三角洲及海西地区,37141000000.0000,,,,,,,,,,,,,,,,,,,,,,600036.SH,
,,,,,,其它,1155621400.0000,426030300.0000,729591100.0000,63.1341,国外,705710700.0000,283188000.0000,422522700.0000,59.8719,,,,,,,,,,,,,,,,,,,600177.SH,
,其他业务,54195275.5900,152728.5600,54042547.0300,99.7182,其他,69748432.8500,68801221.5100,947211.3400,1.3580,,,,,,,,,,,,,,,,,,,,,,,,002091.SZ,
,其他业务,432045.3000,118488.7100,313556.5900,72.5749,其他业务,117025432045.3000,107312118488.7100,9713313556.5900,8.3002,,,,,,,,,,,,,,,,,,,,,,,,600153.SH,
,,,,,,人类医用氨基酸,740403825.1400,495213216.6600,245190608.4800,33.1158,,,,,,,,,,,,,,,,,,,,,,,,600873.SH,
,科技,49358000000.0000,48687000000.0000,671000000.0000,1.3595,其他业务收入,77782000000.0000,,,,北京,45657000000.0000,,,,,,,,,,,,,,,,,,,,,,601318.SH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000858.SZ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000568.SZ,
,,,,,,营销广告策划,5860896.6600,18566035.8200,-12705139.1600,-216.7781,,,,,,,,,,,,,,,,,,,,,,,,002818.SZ,
,设计勘察,10171215000.0000,8337917000.0000,1833298000.0000,18.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601668.SH,
,,,,,,其他债权投资,33178000000.0000,,,,环渤海地区,35799000000.0000,,,,,,,,,,,,,,,,,,,,,,600036.SH,
,,,,,,西服,1042782400.0000,357467600.0000,685314800.0000,65.7198,华中,584315300.0000,169175300.0000,415140000.0000,71.0473,,,,,,,,,,,,,,,,,,,600177.SH,
,,,,,,其他业务,54195275.5900,152728.5600,54042547.0300,99.7182,,,,,,,,,,,,,,,,,,,,,,,,002091.SZ,
