ths_operating_revenue_yoy_stock,ths_or_yoy_stock,ths_op_yoy_stock,ths_total_profit_yoy_stock,ths_np_yoy_stock,ths_np_atsopc_yoy_stock,ths_np_atsopc_dnrgal_yoy_stock,ths_net_interest_income_growth_stock,ths_interest_income_growth_stock,ths_interest_expense_growth_stock,ths_operating_cost_yoy_stock,ths_ncf_of_oa_yoy_stock,ths_oa_cf_net_amt_yoy_stock,ths_cash_net_flow_yoy_stock,ths_net_assets_yoy_stock,ths_total_liab_growth_yoy_stock,ths_total_assets_growth_yoy_stock,ths_account_receivable_yoy_stock,ths_currency_capital_yoy_stock,thscode,time
2.0974,2.0974,9.3487,8.8536,7.8837071415428,6.4538,22.4726,,-5.0020523153849,-16.850137299215,,72.2031,73.543,12095.725297828,7.7341158733577,7.1171356328329,7.2592727160194,,9.1078423195836,601318.SH,
-54.5518,-54.5518,-72.2825,-72.3779,-71.930877200703,-71.889,-72.2272,,,,-55.516500898596,-12.4736,-12.473,-105.62355969279,-10.018368554286,30.750007752255,0.92006995892135,1.0679900348899,-0.30178629526713,000858.SZ,
-17.5189,-17.5189,-19.3461,-19.5073,-19.542977956454,-19.6116,-19.6983,,,,-11.480279398154,-62.8646,-62.8646,-186.19244728302,5.0472014398974,-28.45245795314,-5.1798078031572,-44.879295730367,-18.573936582764,000568.SZ,
-16.1351,-16.1351,-21.4812,-20.9289,-19.153489120518,-19.524,-21.0781,,,,-5.1667848704239,52.7872,52.7847,-159.1595713158,-3.8351739308748,-11.626126399276,-4.7484919947999,0.14006645091245,-34.110978979939,002818.SZ,
-4.8092,-4.8092,-14.4185,-12.2737,-14.644368081751,-15.4235,-23.1962,,,,-4.8511057587781,29.77,31.1,-100.58427085998,6.2827302561518,13.250877728824,11.627953426046,31.052031264763,-2.9985819543556,601668.SH,
0.013,0.013,0.1302,0.1909,1.047747042973,1.2063,1.3485,2.0428158294561,-6.1239048710694,-16.709817539296,,0.9919,1.0158,-129.65246209716,3.8222238897761,7.9778186887448,7.5582972269009,,,600036.SH,
-18.3702,-18.3702,-14.3385,-13.3476,-11.99691377127,-11.5675,-14.3787,,,,-26.655963645494,-20.1676,-20.1615,179.70122879185,2.7513114189822,-5.6171538071057,-0.83002043459058,66.289267186765,52.155949166451,600177.SH,
1.2408,1.2721,18.3887,18.612,18.161471118778,17.0226,-2.6976,,-17.323020658302,-66.270555566262,-0.29542339362193,38.9584,38.9543,91.874551269502,3.692829298027,3.2039392509298,3.1891576474341,8.366753221722,0.30667363391878,002091.SZ,
-4.2815,-4.2815,-328.9157,-326.2883,-582.75767531287,-467.1229,-401.1967,,,,-3.965551268145,3.3564,5.0515,-944.62145861053,-14.700429149437,1.6763642039698,-4.5246152985691,21.742986835481,-3.3973654414252,600153.SH,
-3.4329,-3.4329,-16.6765,11.3523,19.721476033785,19.7215,-18.2156,,,,-2.1325840379736,-13.3454,-11.8449,80.667002771658,12.162139054593,3.6145922903963,8.8469458890772,-1.7925295415493,-5.9829215814391,600873.SH,
