ths_roe_stock,ths_roa_stock,ths_roic_stock,ths_net_sales_rate_stock,ths_gross_selling_rate_stock,ths_sales_dur_fee_rate_stock,ths_prime_operating_ratio_stock,ths_sales_fee_to_total_revenue_stock,ths_manage_fee_to_revenue_2_stock,ths_rad_cost_to_revenue_stock,ths_finance_cost_to_total_revenue_stock,ths_eps_basic_stock,ths_nav_ps_stock,ths_ncf_from_oa_ps_stock,ths_revenue_ps_stock,ths_oips_stock,ths_ebit_to_interest_fee_stock,ths_ebitda_to_interest_stock,ths_ebitda_to_total_liab_stock,ths_ebitda_to_dwi_stock,ths_ebitda_to_interest_fee_stock,ths_ebit_to_interest_stock,ths_all_debt_to_ebitda_stock,thscode,time
13.9737,,,15.069,,,101.13475941592,7.8488,,,,7.68,55.25,37.52,58.0134,58.0134,,,,,,,,601318.SH,
7.0724,5.0414,5.6061269485674,22.989,77.5418,21.0042,100.4287122407,18.8228,7.6403078444905,1.1083156524791,-6.5673,2.3068,30.8976,7.6531,10.4412,10.4412,,,0.1594,26.458809808187,,,6.2727462280096,000858.SZ,
22.2926,21.2305,18.422386784736,42.2055,86.6241,15.1701,100.20879038977,12.5807,3.7403179144082,0.83889309583913,-1.9898,7.36,33.8195,4.8393,17.481,17.481,,,1.0017,2.2220577653341,,,0.99833977511005,000568.SZ,
9.7443,9.6319,9.5530507191627,47.369,62.9587,5.4569,99.82769719442,0.4714,4.9827862485768,,0.0027,0.74,7.47,1.6652,1.6022,1.6022,20413.1121,20413.112085204,1.0126,89.223455387,27537.653052898,27537.653052898,0.98754385904268,002818.SZ,
8.1928,2.5502,3.8293744715712,2.5722,9.8976,5.0219,98.187432197726,0.4341,1.6268736270048,2.113660883591,0.8473,0.94,11.68,0.497,50.3902,50.3902,5.4309,3.3867302867021,0.0368,0.10540783498858,6.3580977619485,3.9649055589765,27.174293816583,601668.SH,
12.0198,,,44.7738,,,100.14469839603,31.9827,,,,5.7,43.43,17.9,13.3835,13.3835,,,,,,,,600036.SH,
5.8595,4.3871,4.6447702078226,20.9431,45.9046,44.4823,100.5301624949,30.8972,8.2710401764827,0.6576723495911,4.6564,0.53,9.1563,0.2669,2.505,2.505,6.0272,6.0272457977792,0.1594,0.20987928565611,8.7075196676326,8.7075196676326,6.2734881030139,600177.SH,
8.1009,6.7123,7.1886154481593,5.6101,16.2179,9.5988,99.610534190257,5.5486,3.1822293030115,0.1814934523999,0.6733,0.79,9.7345,1.4404,24.23,24.1967,39.4213,39.421321470415,0.1573,0.40988987050719,48.247580435921,48.247580435921,6.3570807176572,002091.SZ,
-16.2153,-2.9422,,-4.1852,5.5638,2.7037,99.985401052346,1.7741,0.33602967185329,0.061609548676217,0.5319,-3.91,14.9471,3.997,231.5094,231.5094,,,-0.036,-0.11088433109655,,,-27.782133637017,600153.SH,
21.22,14.9716,16.864535191188,13.5525,18.9985,7.2192,77.997220662576,1.4993,4.0958392707975,1.6074877767776,0.0165,1.17,5.8296,1.4297,8.6329,8.6329,929.5299,929.52991893898,0.5402,1.2886206902134,1290.819634146,1290.819634146,1.8510582237123,600873.SH,
