ths_cash_received_of_sales_service_stock,ths_deposit_and_interbank_net_add_stock,ths_borrowing_net_add_central_bank_stock,ths_lending_net_add_other_org_stock,ths_cash_received_from_orig_ic_stock,ths_net_cash_received_from_rein_stock,ths_naaassured_saving_and_invest_stock,ths_naa_of_disposal_fnncl_assets_stock,ths_cash_received_of_interest_etc_stock,ths_borrowing_net_increase_amt_stock,ths_net_add_in_repur_capital_stock,ths_refund_of_tax_and_levies_stock,ths_cash_received_of_other_oa_stock,ths_oa_cash_inflow_diff_sri_stock,ths_oa_cash_inflow_diff_tbi_stock,ths_sub_total_of_ci_from_oa_stock,ths_goods_buy_and_service_cash_pay_stock,ths_loan_and_advancenet_add_stock,ths_naa_of_cb_and_interbank_stock,ths_cash_of_orig_ic_indemnity_stock,ths_cash_paid_for_interests_etc_stock,ths_cash_paid_for_pd_stock,ths_lending_funds_net_increase_stock,ths_lend_to_other_finins_net_incre_stock,ths_cash_paid_to_staff_etc_stock,ths_payments_of_all_taxes_stock,ths_other_cash_paid_related_to_oa_stock,ths_oa_cash_outflow_diff_sri_stock,ths_oa_cash_outflow_diff_tbi_stock,ths_sub_total_of_cos_from_oa_stock,ths_ncf_diff_of_oa_sri_stock,ths_ncf_diff_of_oa_tbi_stock,ths_ncf_from_oa_stock,ths_cash_received_of_dspsl_invest_stock,ths_invest_income_cash_received_stock,ths_net_cash_of_disposal_assets_stock,ths_net_cash_of_disposal_branch_stock,ths_cash_received_of_other_fa_stock,ths_ia_cash_inflow_diff_sri_stock,ths_ia_cash_inflow_diff_tbi_stock,ths_sub_total_of_ci_from_ia_stock,ths_cash_paid_for_assets_stock,ths_invest_paid_cash_stock,ths_net_add_in_pledge_loans_stock,ths_net_cash_amt_from_branch_stock,ths_other_cash_paid_related_to_ia_stock,ths_ia_cash_outflow_diff_sri_stock,ths_ia_cash_outflow_diff_tbi_stock,ths_sub_total_of_cos_from_ia_stock,ths_ncf_diff_from_ia_sri_stock,ths_ncf_diff_from_ia_tbi_stock,ths_ncf_from_ia_stock,ths_cash_received_of_absorb_invest_stock,ths_cr_from_minority_holders_stock,ths_cash_received_of_borrowing_stock,ths_cash_received_from_bond_issue_stock,ths_cash_received_of_othr_fa_stock,ths_fa_cash_in_flow_diff_sri_stock,ths_fa_cash_in_flow_diff_tbi_stock,ths_sub_total_of_ci_from_fa_stock,ths_cash_pay_for_debt_stock,ths_cash_paid_of_distribution_stock,ths_dap_paid_to_minority_holder_stock,ths_othrcash_paid_relating_to_fa_stock,ths_fa_cash_out_flow_diff_sri_stock,ths_fa_cash_out_flow_diff_tbi_stock,ths_sub_total_of_cos_from_fa_stock,ths_ncf_diff_from_fa_sri_stock,ths_ncf_diff_from_fa_tbi_stock,ths_ncf_from_fa_stock,ths_effect_of_exchange_chg_on_cce_stock,ths_cce_net_add_amt_diff_sri_dm_stock,ths_cce_net_add_amt_diff_tbi_dm_stock,ths_net_increase_in_cce_stock,ths_initial_cce_balance_stock,ths_final_balance_of_cce_stock,ths_np_cfs_stock,ths_asset_impairment_reserve_stock,ths_credit_impairment_loss2_stock,ths_depreciation_etc_stock,ths_intangible_assets_amortized_stock,ths_depreciation_ire_stock,ths_rou_depreciation_stock,ths_lt_deferred_expenses_amrtzt_stock,ths_deferred_expense_reduce_stock,ths_increase_in_accrued_expenses_stock,ths_loss_of_disposal_assets_stock,ths_fixed_assets_scrap_loss_stock,ths_loss_from_fv_chg_stock,ths_finance_cost_cfs_stock,ths_invest_loss_stock,ths_dt_assets_decrease_stock,ths_dt_liab_increase_stock,ths_inventory_decrease_stock,ths_operating_items_decrease_stock,ths_increase_of_operating_item_stock,ths_si_other_stock,ths_ncf_diff_from_oa_im_sri_stock,ths_ncf_diff_from_oa_im_tbi_stock,ths_ncf_from_oa_im_stock,ths_debt_tranfer_to_capital_stock,ths_cb_due_within1y_stock,ths_finance_lease_fixed_assets_stock,ths_ending_balance_of_cash_stock,ths_initial_balance_of_cash_stock,ths_si_final_balance_of_cce_stock,ths_initial_balance_of_cce_stock,ths_cce_net_add_diff_im_sri_stock,ths_cce_net_add_diff_im_tbi_stock,ths_net_increase_in_cce_im_stock,thscode,time
,,,,,,,,,,230683000000.0,,189830000000.0,644354000000.0,,1852105000000.0,,,,,166020000000.0,,,,90203000000.0,57753000000.0,213500000000.0,206762000000.0,,1193473000000.0,,0.0,658632000000.0,3221844000000.0,224837000000.0,708000000.0,9488000000.0,7431000000.0,,,3464308000000.0,8355000000.0,4014957000000.0,,949000000.0,,,,4024261000000.0,,0.0,-559953000000.0,76739000000.0,76739000000.0,93075000000.0,878243000000.0,791000000.0,4199000000.0,,1283730000000.0,1083496000000.0,77146000000.0,9945000000.0,3175000000.0,40025000000.0,,1208342000000.0,,0.0,75388000000.0,-2888000000.0,,,171179000000.0,479045000000.0,650224000000.0,158301000000.0,,,3963000000.0,2819000000.0,5682000000.0,4210000000.0,1416000000.0,,,-325000000.0,,10379000000.0,,,,,,-162661000000.0,804401000000.0,,-168935000000.0,,658632000000.0,,,,446717000000.0,381829000000.0,203507000000.0,97216000000.0,,,171179000000.0,601318.SH,
91400295974.06,,,,,,,,,,,31878354.72,2982189922.58,,,94414364251.36,19575747032.1,,,,,,,,8202043064.9,30797656038.37,6132658196.86,,,64708104332.23,,0.0,29706259919.13,,,36839386.35,,,,,36839386.35,1967407316.36,40000000.0,,,,,,2007407316.36,,0.0,-1970567930.01,138643589.71,138643589.71,,,,,,138643589.71,,28005245614.75,1264598878.45,524970121.37,,,28530215736.12,,0.0,-28391572146.41,-703626.72,,,-656583784.01,124771274417.68,124114690633.67,9317113184.68,26206890.97,,592664029.5,174848065.89,,397136652.47,110323884.07,,,-12694451.1,9380127.46,,29426074.4,-111568486.77,-1416014807.52,-93868606.4,-1854723149.48,1878001271.04,20660029239.92,,,,29706259919.13,,,,124114690633.67,124771274417.68,,,,,-656583784.01,000858.SZ,
27777276141.94,,,,,,,,,,,9025614.4,734568847.34,,,28520870603.68,5530412116.98,,,,,,,,1331071043.16,12094908635.3,2441260130.36,,,21397651925.8,,0.0,7123218677.88,2220118349.64,74668176.18,1978040.76,,,,,2296764566.58,1932762969.97,2100000000.0,,,,,,4032762969.97,,0.0,-1735998403.39,,,408166310.93,,,,,408166310.93,3220200000.0,8998017228.32,36240666.2,10067985.97,,,12228285214.29,,0.0,-11820118903.36,-9675423.77,,,-6442574052.64,33367668014.46,26925093961.82,10859910680.17,-40376897.11,,679729252.35,104502575.17,,8694005.79,721286.55,,,534054.68,-573612.92,-7777112.49,162321252.58,-199014965.19,153432210.88,2461075.93,-2003237231.39,299526477.64,-2897634374.76,,,,7123218677.88,,,,26925093961.82,33367668014.46,,,,,-6442574052.64,000568.SZ,
1207815421.11,,,,,,,,,,,,627630911.42,,,1835446332.53,149269829.89,,,,,,,,125192823.7,262491477.02,52150407.65,,,589104538.26,,0.0,1246341794.27,3983438541.68,32937027.56,66952.0,,,,,4016442521.24,34649920.74,4551293661.12,,,,,,4585943581.86,,0.0,-569501060.62,,,10000000.0,,,,,10000000.0,14000000.0,785661991.95,6750018.06,966193.65,,,800628185.6,,0.0,-790628185.6,,,,-113787451.95,327775558.76,213988106.81,568033295.79,4041519.8,,186621042.95,42758256.76,,,1459603.65,,,-752.22,108638.98,16346504.81,514676.29,-72222776.83,-14570281.61,3013868.18,218957.01,643088548.26,-131089307.55,-1980000.0,,,1246341794.27,,,,213988106.81,327775558.76,,,,,-113787451.95,002818.SZ,
2131180581000.0,,,,,,,,,,,2140949000.0,53972386000.0,,,2187293916000.0,1952939461000.0,,,,,,,,115118850000.0,64785137000.0,33913336000.0,,,2166756784000.0,,0.0,20537132000.0,4560099000.0,2169520000.0,4760083000.0,4141494000.0,17878005000.0,,,33509201000.0,26226719000.0,8561454000.0,,7425135000.0,23445921000.0,,,65659229000.0,,0.0,-32150028000.0,14290669000.0,14290669000.0,469885077000.0,124558100000.0,8889695000.0,,,617623541000.0,534846647000.0,49757579000.0,9396085000.0,21439957000.0,,,606044183000.0,,0.0,11579358000.0,-142832000.0,,,-176370000.0,359372597000.0,359196227000.0,53557640000.0,7210082000.0,18655275000.0,6614744000.0,1316080000.0,4507304000.0,1666758000.0,588743000.0,,,-290029000.0,,43600000.0,18480305000.0,-802824000.0,-3579408000.0,-299139000.0,-9621533000.0,-347720820000.0,253447875000.0,1695815000.0,15066664000.0,,20537132000.0,,,,359196227000.0,359372597000.0,,,,,-176370000.0,601668.SH,
,950725000000.0,,,,,,,343377000000.0,,,,95590000000.0,50727000000.0,,1440419000000.0,,414137000000.0,,,148791000000.0,,,,67242000000.0,47366000000.0,30805000000.0,280621000000.0,,988962000000.0,,0.0,451457000000.0,2270020000000.0,125561000000.0,13074000000.0,,,638000000.0,,2409293000000.0,28141000000.0,2705121000000.0,,,,951000000.0,,2734213000000.0,,0.0,-324920000000.0,,,,155449000000.0,19529000000.0,27230000000.0,,202208000000.0,162974000000.0,61752000000.0,,36936000000.0,110484000000.0,,372146000000.0,,0.0,-169938000000.0,-3304000000.0,,,-46705000000.0,756527000000.0,709822000000.0,151126000000.0,,,11023000000.0,624000000.0,,3745000000.0,1028000000.0,,,-742000000.0,,,,-36126000000.0,,,,-586869000000.0,947231000000.0,,-39583000000.0,,451457000000.0,,,,14808000000.0,16622000000.0,695014000000.0,739905000000.0,,,-46705000000.0,600036.SH,
8847978130.48,,,,,,,,,,,73479035.86,233077744.48,,,9154534910.82,3029253319.34,,,,,,,,2216529066.7,799957739.49,1874904618.97,,,7920644744.5,,0.0,1233890166.32,8003762813.08,1191871873.18,179728815.44,,1483384145.1,,,10858747646.8,367121714.79,1905218939.35,,1182950258.86,2154358672.93,,,5609649585.93,,0.0,5249098060.87,,,22153842355.81,,1916540083.63,,,24070382439.44,22511013182.04,2650865932.75,,1421478151.87,,,26583357266.66,,0.0,-2512974827.22,17404880.14,,,3987418280.11,7719754576.69,11707172856.8,2425589941.02,650202730.4,39551300.62,781925026.02,37858837.66,,520046162.85,47134070.31,,,-98976677.05,553963.21,34584037.29,559791214.07,-3264899499.46,5304963.01,15086918.87,3447481211.13,40173879.65,-4007517913.28,,,,1233890166.32,,,,11707172856.8,7719754576.69,,,,,3987418280.11,600177.SH,
38882690762.49,-23861676.25,,,,,,,49316660.28,,,2924092256.8,323310462.87,,,42155548466.19,33228743299.55,,363836948.8,,152728.56,,,,4097223981.34,1109832023.58,1011235455.0,,,39811024436.83,,0.0,2344524029.36,46741127048.86,238284051.12,98630361.87,21343486.65,43491520.36,,,47142876468.86,1064636209.45,46928781600.0,,,,,,47993417809.45,,0.0,-850541340.59,64715662.5,64715662.5,5185834107.65,,147658285.86,,,5398208056.01,5057211722.35,1384162301.08,444070467.37,528356220.04,,,6969730243.47,,0.0,-1571522187.46,-243183187.92,,,-320722686.61,12957818809.96,12637096123.35,2209552077.97,284425952.72,34352714.94,440912103.73,30743310.66,,147869065.19,72754402.0,,,-25371170.64,427620.16,-16053828.31,421968874.55,-702183507.55,4180432.09,-2808677.58,-74158733.38,-1133370429.2,686667213.45,-11521715.19,-23861676.25,,2344524029.36,,,,12637096123.35,12957818809.96,,,,,-320722686.61,002091.SZ,
600776811678.88,,,,,,,,,,,4857460265.53,49619486535.55,,,655253758479.96,554278456632.39,,,,,,,,10814224455.45,15395978931.86,63175603089.56,,,643664263109.26,,0.0,11589495370.7,20355745910.54,1688011365.25,252980066.8,9779463.03,17214310317.56,,,39520827123.18,3166721899.53,21094692738.71,,1095380497.22,27310401492.56,,,52667196628.02,,0.0,-13146369504.84,12370049240.45,6822427116.28,194864166788.87,,12918205502.84,,,220152421532.16,170306234356.35,12181863724.42,1620929552.18,39698751270.5,,,222186849351.27,,0.0,-2034427819.11,410325257.44,,,-3180976695.81,85630473190.07,82449496494.26,-28094173275.29,15049778453.75,1579675546.84,812279380.98,228282920.62,,1088343877.99,200114647.72,,,-38170980.18,16944953.26,25594047117.6,3631229612.65,-45198097.42,2530714829.18,-3884236297.34,21431143077.3,-13196731224.64,-15600658431.66,286109259.34,,,11589495370.7,,,,82449496494.26,85630473190.07,,,,,-3180976695.81,600153.SH,
26284830929.52,,,,,,,,,,,564637199.44,314266906.41,,,27163735035.37,19183664918.44,,,,,,,,1888800255.38,1064967949.58,1017042265.74,,,23154475389.14,,0.0,4009259646.23,49416904.11,89022905.51,3929974.23,,,,,142369783.85,2085097608.71,1021970127.42,,154418006.87,25064758.89,,,3286550501.89,,0.0,-3144180718.04,,,5303483203.63,,631857578.29,,,5935340781.92,5009880000.02,1255746825.79,,677245874.35,,,6942872700.16,,0.0,-1007531918.24,17029234.7,,,-125423755.35,4131859602.14,4006435846.79,3280879912.1,36034934.84,-10379492.7,1352389043.85,49442167.88,,3948482.23,41023855.2,,,-834727.21,37764435.04,-32838480.38,19056345.85,-57847648.05,16747667.25,-21585228.45,32921201.66,291262779.09,-197284586.92,-831441015.05,,,4009259646.23,,,,4006435846.79,4131859602.14,,,,,-125423755.35,600873.SH,
