open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
50.77,56.0,47.0,47.0,1634579272,601318.SH,2023-05-31,中国平安,NA,CNY
47.05,49.96,45.7,46.4,991895466,601318.SH,2023-06-30,中国平安,NA,CNY
46.44,53.68,46.38,52.6,1119122681,601318.SH,2023-07-31,中国平安,NA,CNY
52.5,53.85,46.19,48.79,1356796726,601318.SH,2023-08-31,中国平安,NA,CNY
49.35,51.9,48.15,48.3,924677272,601318.SH,2023-09-28,中国平安,NA,CNY
48.0,48.89,44.55,45.46,682302651,601318.SH,2023-10-31,中国平安,NA,CNY
45.79,46.17,40.5,40.8,1154506196,601318.SH,2023-11-30,中国平安,NA,CNY
40.65,41.27,38.13,40.3,833252068,601318.SH,2023-12-29,中国平安,NA,CNY
40.3,41.69,37.62,40.51,1255868188,601318.SH,2024-01-31,中国平安,NA,CNY
40.12,44.45,39.0,42.9,982029541,601318.SH,2024-02-29,中国平安,NA,CNY
42.8,43.88,40.25,40.81,1023505460,601318.SH,2024-03-29,中国平安,NA,CNY
40.95,42.88,37.67,41.36,1117157055,601318.SH,2024-04-30,中国平安,NA,CNY
43.15,46.07,41.66,43.07,1335754732,601318.SH,2024-05-31,中国平安,NA,CNY
42.99,43.51,41.16,41.36,770715437,601318.SH,2024-06-28,中国平安,NA,CNY
41.41,43.23,40.46,42.56,1076225153,601318.SH,2024-07-31,中国平安,NA,CNY
42.42,44.53,40.22,44.03,870617217,601318.SH,2024-08-30,中国平安,NA,CNY
43.88,57.09,41.82,57.09,1384586227,601318.SH,2024-09-30,中国平安,NA,CNY
62.8,62.8,54.75,55.92,2252332822,601318.SH,2024-10-31,中国平安,NA,CNY
56.15,61.49,52.14,53.25,1641728838,601318.SH,2024-11-29,中国平安,NA,CNY
53.2,57.18,52.35,52.65,1198119635,601318.SH,2024-12-31,中国平安,NA,CNY
52.7,52.73,48.1,50.85,974471760,601318.SH,2025-01-27,中国平安,NA,CNY
50.98,52.48,49.67,50.38,1046641120,601318.SH,2025-02-28,中国平安,NA,CNY
50.55,54.3,50.0,51.63,1245336957,601318.SH,2025-03-31,中国平安,NA,CNY
51.6,52.0,47.0,50.71,1066514122,601318.SH,2025-04-30,中国平安,NA,CNY
51.0,55.18,50.55,53.28,872078986,601318.SH,2025-05-30,中国平安,NA,CNY
53.21,58.13,53.0,55.48,1148583546,601318.SH,2025-06-30,中国平安,NA,CNY
55.66,61.33,55.3,58.69,1356430503,601318.SH,2025-07-31,中国平安,NA,CNY
58.68,61.1,57.69,59.88,1385868119,601318.SH,2025-08-29,中国平安,NA,CNY
59.79,59.79,54.66,55.11,1407177625,601318.SH,2025-09-30,中国平安,NA,CNY
55.04,60.1,54.25,57.83,1156367234,601318.SH,2025-10-31,中国平安,NA,CNY
58.27,62.27,57.86,58.99,1146441205,601318.SH,2025-11-28,中国平安,NA,CNY
58.91,71.98,58.15,68.4,1647997129,601318.SH,2025-12-31,中国平安,NA,CNY
69.2,74.88,63.66,66.75,2976210454,601318.SH,2026-01-30,中国平安,NA,CNY
66.35,69.1,63.06,63.09,1175055720,601318.SH,2026-02-27,中国平安,NA,CNY
62.41,63.72,55.84,56.78,1663435329,601318.SH,2026-03-31,中国平安,NA,CNY
57.58,60.6,56.41,59.37,1426089799,601318.SH,2026-04-30,中国平安,NA,CNY
59.38,61.11,55.29,55.5,772631405,601318.SH,2026-05-15,中国平安,NA,CNY
