ths_stock_short_name_stock,ths_reg_capital_stock,ths_controlling_holder_stock,ths_controlling_holder_held_ratio_stock,ths_actual_controller_stock,ths_actual_controller_held_ratio_stock,ths_actual_controller_type_stock,ths_company_saclle_type_stock,ths_operating_scope_stock,ths_mo_product_name_stock,ths_main_businuess_stock,ths_opponent_company_stock,ths_comparing_company_stock,ths_corp_website_stock,ths_ygzs_new_stock,ths_total_shares_stock,ths_holder_name_stock,ths_holder_held_num_stock,thscode,time
中国平安,18107641995.0,,,,,,大型企业,　　投资金融、保险企业；监督管理控股投资企业的各种国内、国际业务；开展资金运用业务。,寿险及健康险业务、财产保险业务、银行业务、资产管理业务、金融赋能业务,从事金融业，提供多元化的金融产品及服务,,,www.pingan.cn,,18107641995.0,香港中央结算(代理人)有限公司,6554180667.0,601318.SH,
五粮液,3881608005.0,宜宾发展控股集团有限公司,55.0800,宜宾市政府国有资产监督管理委员会,49.5720,地方国资委,大型企业,　　主营：酒类产品及相关辅助产品（瓶盖、商标、标识及包装制品）的生产经营；兼营：饮料、药品、水果种植、农业种植、进出口业务、物业管理、投资管理(不得从事非法集资、吸收公众资金等金融活动)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,五粮液酒,“五粮液”及其系列白酒的生产和销售,,,www.wuliangye.com.cn,,3881608005.0,宜宾发展控股集团有限公司,1336548020.0,000858.SZ,
泸州老窖,1471941963.0,泸州老窖集团有限责任公司,26.1300,泸州市国有资产监督管理委员会,45.9710,地方国资委,大型企业,　　泸州老窖系列酒的生产、销售（凭许可证及其有效期经营）；进出口经营业务；技术推广服务；发酵制品生产及销售；销售：汽车配件、建材及化工原料（以上经营项目不含法律、法规和国务院决定的前置审批和许可项目）。,中高档酒类、其他酒类,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售。,,"宜宾五粮液股份有限公司,山西杏花村汾酒厂股份有限公司,江苏洋河酒厂股份有限公司,贵州茅台酒股份有限公司",www.lzlj.com,,1471941963.0,泸州老窖集团有限责任公司,383433639.0,000568.SZ,
富森美,748458940.0,刘兵,43.7000,刘兵,43.7000,个人,大型企业,　　批发零售：装饰材料、建筑材料、灯具、金属材料（不含稀贵金属）、五金交电、日用百货、家俱；市场经营管理；企业管理服务；广告代理服务（不含气球广告）；房屋租赁；房地产开发经营；室内外装饰装修工程设计及施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,市场租赁及服务、营销广告策划、委托经营管理、装饰装修工程收入,装饰建材家居和汽配市场的开发、租赁和服务,,,www.fsmjj.com,,748458940.0,刘兵,327100886.0,002818.SZ,
中国建筑,41320390444.0,中国建筑集团有限公司,57.7000,国务院国有资产监督管理委员会,57.7000,国资委,大型企业,　　一般经营项目：承担国内外公用、民用房屋建筑工程的施工、安装、咨询；基础设施项目的投资与承建；国内外房地产投资与开发；建筑与基础设施建设的勘察与设计；装饰工程、园林工程的设计与施工；实业投资；承包境内外资工程；进出口业务；建筑材料及其他非金属矿物制品、建筑用金属制品、工具、建筑工程机械和钻探机械的生产与销售。,房屋建筑工程、基础设施建设与投资、房地产开发与投资、勘察设计,房建、基建、地产和设计,,,www.cscec.com,,41320390444.0,中国建筑集团有限公司,23843727325.0,601668.SH,
招商银行,25219845601.0,,,,,,大型企业,　　吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外汇兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；发行和代理发行股票以外的外币有价证券；买卖和代理买卖股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经人民银行批准的其他业务。,零售金融业务、批发金融业务、其他业务,从事银行业及相关金融服务。,,,www.cmbchina.com,,25219845601.0,香港中央结算(代理人)有限公司,4555881803.0,600036.SH,
雅戈尔,4623441902.0,宁波雅戈尔控股有限公司,38.9000,李如成,23.0976,个人,大型企业,　　服装制造；技术咨询；房地产开发；项目投资；仓储；针纺织品、金属材料、化工产品、建筑材料、机电、家电、电子器材的批发、零售；自营和代理货物和技术的进出口，但国家限定经营或禁止进出口的货物或技术除外（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,品牌衬衫、品牌西服、品牌裤子、品牌上衣,品牌服装、地产开发和投资业务,,,www.youngor.com,,4623441902.0,宁波雅戈尔控股有限公司,1798681413.0,600177.SH,
江苏国泰,1627715600.0,江苏国泰国际贸易有限公司,31.9900,张家港市国有资产管理中心,33.7800,地方政府,大型企业,　　国内贸易；自营和代理各类商品及技术的进出口业务；服装、鞋帽、服饰、日用百货、针纺织品、皮革制品的生产加工及网络销售。对外派遣工程、生产及服务行业所需的劳务人员（不含海员），预包装食品的批发与零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,纺织服装、玩具等进口及国内贸易、化工产品,外贸和化工新材料,"江苏汇鸿国际集团股份有限公司,苏美达股份有限公司","深圳新宙邦科技股份有限公司,江西宏柏新材料股份有限公司,广州天赐高新材料股份有限公司,苏美达股份有限公司,江苏汇鸿国际集团股份有限公司",www.gtig.com,,1627715600.0,江苏国泰国际贸易有限公司,520634425.0,002091.SZ,
建发股份,2899538551.0,厦门建发集团有限公司,46.7900,厦门市人民政府国有资产监督管理委员会,46.7900,地方国资委,大型企业,　　一般项目：货物进出口；技术进出口；进出口代理；国内贸易代理；贸易经纪；贸易经纪与代理（不含拍卖）；销售代理；豆及薯类销售；食用农产品批发；饲料原料销售；初级农产品收购；水产品批发；水产品零售；林业产品销售；食用农产品初加工；非食用农产品初加工；食品销售（仅销售预包装食品）；食品互联网销售（仅销售预包装食品）；针纺织品及原料销售；针纺织品销售；棉、麻销售；服装辅料销售；服装服饰批发；服装服饰零售；服装制造；鞋帽批发；鞋帽零售；煤炭及制品销售；石油制品销售（不含危险化学品）；金属矿石销售；化工产品销售（不含许可类化工产品）；汽车销售；汽车零配件批发；汽车零配件零售；通讯设备销售；广播影视设备销售；机械设备销售；电子元器件批发；电力电子元器件销售；特种设备销售；租赁服务（不含许可类租赁服务）；国际货物运输代理；海上国际货物运输代理；陆路国际货物运输代理；航空国际货物运输代理；信息系统集成服务；软件开发；科技推广和应用服务；互联网销售（除销售需要许可的商品）；信息咨询服务（不含许可类信息咨询服务）；金银制品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：国营贸易管理货物的进出口；保税仓库经营；食品销售；食品互联网销售；药品零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。,冶金原材料、农林产品、住宅地产、租金、管理费,供应链运营及房地产开发,"厦门国贸集团股份有限公司,厦门象屿股份有限公司,浙商中拓集团股份有限公司,物产中大集团股份有限公司","厦门象屿股份有限公司,嘉能可斯特拉塔股份有限公司,托克集团,日本三井物产株式会社,日本三菱商事株式会社,日本伊藤忠商事株式会社,浙商中拓集团股份有限公司,物产中大集团股份有限公司,厦门国贸集团股份有限公司",www.chinacnd.com,,2899538551.0,厦门建发集团有限公司,1356687985.0,600153.SH,
梅花生物,2804241650.0,孟庆山,30.4580,"孟庆山,王爱军,何君,王爱民,王爱玲,王爱娣","30.4580,2.6384,1.0126,0.4511,0.0422,0.0055",个人,大型企业,　　许可项目：调味品生产（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门许可证为准)一般项目：食品销售（仅销售预包装食品）；生物基材料销售；饲料添加剂销售；食品添加剂销售；非食用植物油销售；畜牧渔业饲料销售；日用化学产品销售；货物进出口；技术进出口；非居住房地产租赁；住房租赁；化工产品销售（不含许可类化工产品）；肥料销售；化肥销售；农作物种子经营（仅限不再分装的包装种子）；社会经济咨询服务；会议及展览服务；仓储设备租赁服务；机械设备租赁；以自有资金从事投资活动（除依法须经批准的项目外，自主开展法律法规未禁止、限制的经营活动）,赖氨酸、苏氨酸、色氨酸、饲料级缬氨酸、淀粉副产品饲料纤维、玉米胚芽、菌体蛋白、味精渣、谷氨酸、谷氨酸钠、呈味核苷酸二钠、肌苷酸二钠、食品级黄原胶、海藻糖、谷氨酰胺、脯氨酸、亮氨酸、异亮氨酸、医药级缬氨酸、肌苷、鸟苷、腺苷、普鲁兰多糖、维生素B2、组氨酸、精氨酸、石油级黄原胶、生物有机肥,氨基酸系列产品、味精、谷氨酸等产品的生产和销售,,,www.meihua.group,,2804241650.0,孟庆山,854103033.0,600873.SH,
