symbol,name,ts_code,price,open,high,low,prev_close,change_pct,volume,amount,source,trade_time
000858,五粮液,000858.SZ,73.17,73.17,73.17,73.17,74.96,-2.44,309800,22668066.0,iFinD,2026-06-26 15:00:00
000568,泸州老窖,000568.SZ,75.2,75.2,75.2,75.2,78.25,-4.06,221631,16666651.2,iFinD,2026-06-26 15:00:00
600887,伊利股份,600887.SH,24.27,24.27,24.27,24.27,24.6,-1.38,551809,13392404.0,iFinD,2026-06-26 15:00:00
600153,建发集团,600153.SH,8.08,8.08,8.08,8.08,8.33,-3.12,157400,1271792.0,iFinD,2026-06-26 15:00:00
600036,招商银行,600036.SH,36.0,36.0,36.0,36.0,36.23,-0.63,1299275,46773900.0,iFinD,2026-06-26 15:00:00
002818,富森美,002818.SZ,10.67,10.67,10.67,10.67,11.17,-4.73,34800,371316.0,iFinD,2026-06-26 15:00:00
002091,江苏国泰,002091.SZ,7.18,7.18,7.18,7.18,7.32,-1.91,264700,1900546.0,iFinD,2026-06-26 15:00:00
601668,中国建筑,601668.SH,4.4,4.4,4.4,4.4,4.44,-0.9,1985600,8736640.0,iFinD,2026-06-26 15:00:00
600177,雅戈尔,600177.SH,7.51,7.51,7.51,7.51,7.44,0.94,411400,3089614.0,iFinD,2026-06-26 15:00:00
600873,梅花生物,600873.SH,7.36,7.36,7.36,7.36,7.54,-2.39,251400,1850304.0,iFinD,2026-06-26 15:00:00
601318,中国平安,601318.SH,47.23,47.23,47.23,47.23,49.21,-4.2,831685,39280482.0,iFinD,2026-06-26 15:00:00
600938,中国海油,600938.SH,27.37,27.37,27.37,27.37,27.73,-1.3,219700,6013189.0,iFinD,2026-06-26 15:00:00
600941,中国移动,600941.SH,86.82,86.82,86.82,86.82,87.69,-1.0,45900,3985038.0,iFinD,2026-06-26 15:00:00
601225,陕西煤业,601225.SH,20.7,20.7,20.7,20.7,21.57,-4.21,273017,5651451.0,iFinD,2026-06-26 15:00:00
000651,格力电器,000651.SZ,37.02,37.02,37.02,37.02,37.16,-0.38,302219,11188147.38,iFinD,2026-06-26 15:00:00
600690,海尔智家,600690.SH,19.72,19.72,19.72,19.72,19.86,-0.7,366995,7237142.0,iFinD,2026-06-26 15:00:00
512890,红利低波ETF,512890.SH,1.081,1.086,1.091,1.079,1.086,-0.46,639536405,692867636.0,Sina,2026-06-26 15:00:01
520890,港股通红利低波ETF,520890.SH,1.245,1.252,1.257,1.239,1.254,-0.72,30892600,38435754.0,Sina,2026-06-26 15:00:03
159545,恒生红利低波ETF,159545.SZ,1.229,1.235,1.238,1.22,1.236,-0.57,136775400,167919876.4,Sina,2026-06-26 15:00:00
513630,港股红利指数ETF(摩根),513630.SH,1.468,1.482,1.484,1.46,1.483,-1.01,293162900,430607441.0,Sina,2026-06-26 15:00:01
159117,鹏华港股通红利低波ETF,159117.SZ,0.935,0.942,0.943,0.929,0.943,-0.85,2690212,2511485.33,Sina,2026-06-26 15:00:00
